set define off;
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (36, 2731, 11, 'Bodea Cipriana');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (37, 3294, 6, 'Istrate Plesu');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (38, 3391, 1, 'Iancu Vera Tereza');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (39, 3101, 1, 'Gherman Bianca');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (40, 2130, 2, 'Cretu Constantin');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (41, 2833, 19, 'Manolache Magdalena Iris');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (42, 2738, 13, 'Trifan Ladislau Ionel');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (43, 3423, 1, 'Coman Luana');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (44, 2813, 3, 'Radulescu Beatrice');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (45, 2806, 17, 'Negoita Melisa');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (46, 3289, 15, 'Apostol Catalin Romeo');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (47, 3039, 7, 'Ionita Eliza Tudosia');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (48, 2570, 7, 'Dumitriu Nicolaie');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (49, 2297, 19, 'Nechita Marcheta Casandra');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (50, 2321, 12, 'Pirvu Marinel');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (51, 2685, 11, 'Szekely Monalisa Ioana');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (52, 2572, 2, 'Matei Norbert Nicolaie');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (53, 2304, 1, 'Ardelean Basarab Remus');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (54, 2047, 3, 'Gabor Astrid Claudia');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (55, 3333, 10, 'Ciobanu Lucretiu Aleodor');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (56, 3131, 12, 'Olaru Renata');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (57, 2297, 19, 'Nastase Adi');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (58, 3412, 17, 'Sava Gregorian Laurian');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (59, 2211, 16, 'Andrei Romina Anghelina');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (60, 2087, 18, 'Tamas Madalina Adela');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (61, 3461, 12, 'Negru Corvin Horia');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (62, 2458, 6, 'Roman Camil Iacob');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (63, 2323, 7, 'Draghici Dina Aurica');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (64, 2532, 1, 'Botezatu Lili');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (65, 2539, 3, 'Covaci Zaharia Stefan');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (66, 2745, 6, 'Rosca Teresa Fausta');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (67, 3456, 8, 'Manolache Vanesa Anca');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (68, 2015, 12, 'Manolache Leopoldina');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (69, 3460, 11, 'Enache Marusia');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (70, 2123, 2, 'Munteanu Toma');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (71, 3461, 16, 'Popovici Angela');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (72, 2619, 19, 'Chiriac Tamara Anaida');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (73, 2481, 12, 'Zaharia Viorela Carla');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (74, 2713, 4, 'Rus Florin Irinel');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (75, 2705, 5, 'Avram Costin');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (76, 2809, 9, 'Horvath Augustin Augustin');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (77, 3389, 16, 'Kiss Beatrice');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (78, 3012, 14, 'Gavrila Sandica');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (79, 2349, 4, 'Iliescu Iulia');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (80, 2210, 10, 'Anterior Maximilian Gabi');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (81, 2169, 19, 'Chirila Arcadian');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (82, 2907, 13, 'Lupu Gherasim');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (83, 3340, 17, 'Chirila Stan Vladimir');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (84, 3313, 2, 'Dobre Mona Laurentia');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (85, 3045, 7, 'Blaga Olimpian');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (86, 3443, 12, 'Antal Tudorica Miuta');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (87, 3251, 15, 'Biro Leana Frusina');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (88, 3495, 17, 'Oprea Ovidiu');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (89, 3021, 17, 'Grosu Simina');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (90, 2897, 15, 'Barbulescu Andrada');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (91, 2132, 16, 'Mihailescu Paulica Augustina');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (92, 3490, 6, 'Ganea Toma');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (93, 2045, 14, 'Szabo Dalia Diana');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (94, 2728, 17, 'Savu Nina');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (95, 2392, 5, 'Marinescu Niculina');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (96, 2016, 9, 'Nechita Zenovia');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (97, 3368, 3, 'Ilie Leonard');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (98, 3353, 16, 'Costache Julieta Iolanda');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (99, 3482, 5, 'Marginean Eleonora Eliza');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (100, 2708, 12, 'Costea Daiana');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (101, 2800, 6, 'Marginean Betina Rada');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (102, 2841, 3, 'Craciun Paul');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (103, 3180, 6, 'Badea Rada Mona');
insert into angajati_patiserie (id_angajat, salariul, id_manager, nume)
values (104, 2356, 2, 'Dragomir Robertina');

insert into ingrediente (id_ingredient, producator, nume, pret)
values (0, 'Hulala', 'Preparat cu Aerosoli Indulcit pe baza de Smantana si Grasimi Vegetale 700ml', 55.99);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (1, 'Cremolinea', 'Colorant Alimentar Galben 500g', 16.93);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (2, 'Italmill', 'Drojdie Uscata 100g', 12.59);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (3, 'Cremolinea', 'Colorant Alimentar Rosu 500g', 15.67);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (4, 'Cremolinea', 'Colorant Alimentar Verde 500g', 15.67);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (5, 'Knorr', 'Maizena Amidon de Porumb 2,5Kg', 71.11);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (6, 'Dr.Oetker', 'Praf de Copt 10g', 0.72);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (7, 'Decocino', 'Ochi Comestibili de Zahar 25g', 23.87);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (8, 'Dr.Oetker', 'Lapte Praf Integral 26% Grasime 1kg', 70.15);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (9, 'Dr.Oetker', 'Finesse Aroma Naturala de Vanilie Bourbon cu Alte Arome Naturale 2bucati x 5g', 6.95);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (10, 'Van', 'Cacao Pudra cu Continut redus de Grasime 200g', 11.55);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (11, 'Elle&Vire', 'Frisca Lichida UHT Excellence Sterilizata 35% Grasime 1L', 49.02);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (12, 'Pakmaya', 'Drojdie Uscata 10g', 1.94);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (13, 'Dr.Oetker', 'Mix pentru Clatite 190g', 4.55);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (14, 'Meggle', 'Frisca Lichida Creme Patisserie Decor fara Lactoza 1L', 31.93);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (15, 'Colin', 'Daily Bicarbonat de Sodiu Alimentar 500g', 7.06);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (16, 'Secretul', 'Bunicii Drojdie Proaspata 500g', 10.22);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (17, 'Dr.Oetker', 'Mix pentru Budinca la Cana cu Gust de Ciocolata 34g', 2.09);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (18, 'Dr.Oetker', 'Praf de Copt 3bucati x 10g', 1.92);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (19, 'Orlando''s', 'Aroma de Rom 250ml', 20.28);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (20, 'Dr.Oetker', 'Mix pentru Crema Tiramisu 1Kg', 50.89);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (21, 'Dr.Oetker', 'Cacao Neagra Pudra 100g', 11.13);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (22, 'Pion', 'Foi Cremsnit 400G', 13.8);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (23, 'Pakmaya', 'Drojdie Proaspata 500g', 9.92);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (24, 'Dr.Oetker', 'Zahar Vanilinat 8g', 0.72);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (25, 'Dr.Oetker', 'Original Praf de Budinca cu Gust de Ciocolată Albă și Alune de Padure 40g', 2.17);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (26, 'Dr.Oetker', 'Esenta de Vanilie 38ml', 7.55);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (27, 'Dr.Oetker', 'Colorant Alimentar Rosu 10g', 8.1);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (28, 'Dr.Oetker', 'Budinca Premium Vanilie si Bourbon 34g', 6.09);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (29, 'Dr.Oetker', 'Praf de Budinca Premium cu Aroma de Fistic 36g', 3.98);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (30, 'Dr.Oetker', 'Mix pentru Budinca Premium cu Ciocolata Belgiana 51g', 3.71);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (31, 'Aristocrat', 'Lapte Praf 1Kg', 47.92);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (32, 'Cremolinea', 'Aroma de Vanilie 500g', 20.28);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (33, 'Pakmaya', 'Drojdie Uscata Activa 100g', 11.97);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (34, 'Pakmaya', 'Drojdie Uscata Activa 4bucati x 100g', 46.46);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (35, 'Dr.Oetker', 'Zahar cu Caramel 8g', 0.73);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (36, 'Kotanyi', 'Rasnita Zahar Tos cu Caramel Sarat 1.9% 65g', 20.57);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (37, 'Kotanyi', 'Rasnita Zahar Granulat cu Scortisoara 52g', 20.57);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (38, 'Ladorna', 'Frisca Vanilata si Indulcita 250g', 21.66);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (39, 'Bravo', 'Drojdie Proaspata 500g', 11.45);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (40, 'Schmidt', 'Cacao Pudra 20-22% Grasime 250g', 25.27);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (41, 'Cosmin', 'Cacao Vanda 75g', 8.67);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (42, 'Pion', 'Foi Napolitane 230G', 7.01);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (43, 'Dr.Oetker', 'Ornamente pentru Prajituri Fire Colorate de Zahar 30g', 3.48);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (44, 'Dr.Oetker', 'Ornamente pentru Prajituri Fire cu Gust de Ciocolata 30g', 3.48);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (45, 'Dr.Oetker', 'Original Pudding Praf de Budinca cu Gust de Ciocolata Neagra 40g', 2.79);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (46, 'Dr.Oetker', 'Mix pentru Budinca la Cana cu Gust de Vanilie 25g', 2.09);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (47, 'Dr.Oetker', 'Mix pentru Budinca la Cana cu Gust de Caramel 28g', 2.03);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (48, 'Dr.Oetker', 'Mix pentru Crema pentru Prajituri cu Gust de Ciocolata Trufe si Rom 57g', 6.7);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (49, 'Dr.Oetker', 'Mix pentru Crema pentru Prajituri cu Gust de Fructe de Padure 50g', 6.7);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (50, 'Dr.Oetker', 'Mix pentru Crema Alba ca Zapada Lamaita 150g', 10.49);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (51, 'Dr.Oetker', 'Colorant Alimentar Galben 10g', 8.1);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (52, 'Dr.Oetker', 'Gustin Amidon Alimentar din Porumb 1kg', 19.95);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (53, 'Boromir', 'Foi de Cremsnit 380g', 21.55);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (54, 'Dr.Oetker', 'Professional Cacao Neagra cu Unt de Cacao 22% 500g', 37.78);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (55, 'Cremolinea', 'Colorant Alimentar Albastru 500g', 23.73);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (56, 'Dr.Oetker', 'Mix pentru Crema pentru Tort de Biscuiti cu Gust de Ciocolata 90g', 4.27);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (57, 'Dr.Oetker', 'Creioane Pentru Decor Culori Pastelate 76g', 17.9);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (58, 'Ruf', 'Esenta de Vanilie 16fiole x 2ml', 20.45);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (59, 'Colin', 'Daily Colorant Alimentar Albastru 250ml', 8.47);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (60, 'Colin', 'Daily Colorant Alimentar Rosu 250ml', 8.47);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (61, 'Dr.Oetker', 'Bicarbonat de Sodiu Alimentar 10bucati x 50g', 15.11);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (62, 'Ruf', 'Esenta de Lamaie 16fiole x 2ml', 20.08);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (63, 'Adazia', 'Esenta de Vanilie 4bucati x 25ml', 5.31);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (64, 'Dr.Oetker', 'Zahar Vanilinat 4bucati x 8g', 2.56);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (65, 'Dr.Oetker', 'Praf de Copt 20bucati x 10g', 12.82);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (66, 'Dr.Oetker', 'Zahar Vanilat Bourbon 10bucati x 8g', 32.05);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (67, 'Dr.Oetker', 'Zahar Vanilinat 20bucati x 8g', 12.82);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (68, 'Dr.Oetker', 'Mix pentru Glazura cu Gust de Caramel 2bucati x 100g', 7.7);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (69, 'Dr.Oetker', 'Decor Mix pentru Glazura cu Gust de Ciocolata 2bucati x 100g', 7.7);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (70, 'Alpin', '57 Foi Cremes 400g', 16.36);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (71, 'Meggle', 'Frisca Lichida Creme Patisserie fara Lactoza 200ml', 8.62);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (72, 'Dr.Oetker', 'Lapte Praf Integral 380g', 26.03);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (73, 'Dr.Oetker', 'Drojdie uscata instant 3bucati x 7g', 5.61);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (74, 'Firesco', 'Blat De Tort Simplu 400G', 28.83);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (75, 'Boromir', 'Foi de Pandispan 380g', 22.8);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (76, 'Dr.Oetker', 'Mix pentru Budinca Premium cu Ciocolata si Cocos 30g', 4.13);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (77, 'Decocino', 'Fondant Auriu 250g', 28.07);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (78, 'Decocino', 'Trandafiri din Hartie comestibila Roz 7g', 24.63);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (79, 'Orlando''s', 'Aroma de Vanilie 250ml', 20.28);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (80, 'Orlando''s', 'Fancy Sare de Lamaie 500g', 13.43);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (81, 'Sano', 'Vita Fulgi De Drojdie Uscata Inactiva 100g', 16.72);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (82, 'Orlando''s', 'Maestro Fulgi Cocos Mozaic 100g', 3.85);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (83, 'Dr.Oetker', 'Zahar Pudra cu Aroma de Vanilie 1Kg', 26.44);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (84, 'Pakmaya', 'Drojdie Proaspata 100g', 3.59);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (85, 'Pakmaya', 'Drojdie Instant 7g', 1.75);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (86, 'Orlando’s', 'Fancy Nucă de Cocos Fulgi 50g', 2.17);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (87, 'Dr.Oetker', 'Zahar Vanilat Bourbon 8g', 3.58);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (88, 'Dr.Oetker', 'Sare de Lamaie 8g', 0.65);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (89, 'Dr.Oetker', 'Original Praf de Budincă cu Gust de Ciocolată și Alune de Padure 48g', 2.45);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (90, 'Dr.Oetker', 'Mix pentru Clatite 950g', 14.97);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (91, 'Dr.Oetker', 'Praf de Spuma pentru Deserturi cu Gust de Frisca 48g', 3.85);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (92, 'Dr.Oetker', 'Praf de Spuma pentru Deserturi cu Gust de Frisca si Capsuni 48g', 3.85);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (93, 'Dr.Oetker', 'Ornamente pentru Prajituri Flori de Zahar 30g', 7.26);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (94, 'Dr.Oetker', 'Ornamente pentru Prajituri Delicii Perlate 30g', 6.15);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (95, 'Dr.Oetker', 'Original Pudding cu Gust de Ciocolata si Rom 50g', 2.45);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (96, 'Dr.Oetker', 'Mix pentru Gogosi 507g', 12.59);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (97, 'Dr.Oetker', 'Glazura Duo cu Gust de Ciocolata Neagra/Alba 100g', 9.88);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (98, 'Dr.Oetker', 'Gelatina Fin Maruntita Alba 10g', 2.3);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (99, 'Dr.Oetker', 'Fondant Pasta de Zahar Modelabila Alb 250g', 15.18);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (100, 'Dr.Oetker', 'Mix pentru Crema pentru Prajituri cu Gust de Cafea/Brandy 50g', 6.7);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (101, 'Dr.Oetker', 'Colorant Alimentar Albastru 10g', 8.1);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (102, 'Dr.Oetker', 'Cacao cu Continut redus de Grasime 50g', 5.16);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (103, 'Dr.Oetker', 'Mix pentru Budinca Premium cu Caramel 38g', 3.71);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (104, 'Dr.Oetker', 'Mix pentru Budinca Premium cu Cafea 38g', 3.71);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (105, 'Dr.Oetker', 'Amoniu pentru Prajituri 7g', 0.69);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (106, 'Cio', 'Esenta de Vanilie 25ml', 1.69);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (107, 'Boromir', 'Blat de Tort Simplu 400g', 22.8);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (108, 'Aristocrat', 'Lapte Praf 400G', 21.81);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (109, 'Aristocrat', 'Lapte Praf 250G', 13.66);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (110, 'Daily', 'Nuancer Colorant Alimentar Rosu 25ml', 2.59);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (111, 'Daily', 'Nuancer Colorant Alimentar Galben 25ml', 2.59);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (112, 'Daily', 'Nuancer Colorant Alimentar Albastru 25ml', 2.59);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (113, 'Cremolinea', 'Sos de Capsuni 250g', 11.46);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (114, 'Cremolinea', 'Aroma de Rom 500g', 20.28);
insert into ingrediente (id_ingredient, producator, nume, pret)
values (115, 'Cremolinea', 'Topping cu Amarena Cherry 1Kg', 25.97);
insert into ingrediente (id_ingredient, producator, nume, pret)
